user_id,age,gender,country,device_type,subscription_type,days_active,total_sessions,avg_session_duration_min,screen_views,clicks,likes,shares,comments,searches,notifications_received,notification_open_rate,purchases,total_spend,retained_30d,churn_risk_score
U00001,56.0,Female,India,iOS,Basic,96,22,4.49,107,10,1,0,0,9,24,0.122,4,59.82,0,0.448
U00002,46.0,Female,India,Android,Free,111,27,7.75,268,42,18,3,4,11,142,0.435,0,0.0,0,0.325
U00003,32.0,Male,India,Android,Basic,56,22,15.89,129,27,3,0,0,13,12,0.198,3,95.08,0,0.608
U00004,60.0,Female,India,Android,Free,183,26,9.18,201,33,6,1,1,11,12,0.452,0,0.0,1,0.129
U00005,25.0,Male,USA,Android,Free,153,28,15.08,126,24,3,0,1,10,35,0.441,1,30.97,1,0.0
U00006,38.0,Male,Canada,iOS,Free,279,27,1.0,236,58,17,2,5,13,43,0.234,6,62.23,1,0.0
U00007,56.0,Female,USA,iOS,Basic,30,21,6.5,203,22,7,0,0,10,146,0.097,4,426.5,0,0.688
U00008,36.0,Female,India,Android,Basic,55,28,12.42,230,68,11,2,2,14,28,0.079,3,59.76,0,0.443
U00009,40.0,Female,India,Android,Free,126,27,11.79,238,40,10,2,1,9,160,0.231,1,29.43,1,0.117
U00010,28.0,Male,USA,Android,Free,247,25,1.35,140,16,2,0,0,7,3,0.477,3,42.11,1,0.0
U00011,,Female,Singapore,iOS,Premium,190,20,4.26,145,18,3,0,0,18,30,0.299,2,20.74,1,0.078
U00012,41.0,Female,USA,Android,Basic,76,29,13.84,262,59,12,0,0,9,35,0.627,6,147.96,1,0.082
U00013,53.0,Female,India,Android,Basic,40,27,7.49,130,19,8,0,2,12,85,0.25,4,114.95,0,0.383
U00014,57.0,Female,Australia,Android,Premium,96,36,13.27,374,70,30,1,2,7,41,0.615,4,167.02,1,0.293
U00015,41.0,Female,India,iOS,Free,261,34,13.64,149,37,9,2,1,11,152,0.104,3,31.72,0,0.027
U00016,20.0,Male,India,iOS,Basic,216,24,7.27,164,31,4,0,1,5,75,0.343,2,114.01,0,0.29
U00017,39.0,Female,Singapore,iOS,Premium,130,19,7.93,127,23,9,0,1,10,118,0.297,3,176.32,1,0.241
U00018,19.0,Female,India,Android,Basic,140,18,15.78,103,18,4,0,0,12,20,0.65,6,51.65,0,0.436
U00019,41.0,Male,USA,iOS,Free,109,24,9.04,231,60,5,0,1,14,44,0.662,1,99.84,1,0.448
U00020,47.0,Female,India,iOS,Premium,56,17,10.64,81,10,1,0,0,12,107,0.304,1,52.5,0,0.6
U00021,55.0,Female,Singapore,Android,Free,22,13,9.4,149,35,3,0,0,11,0,0.203,3,212.37,0,0.637
U00022,19.0,Female,,Android,Free,117,25,11.17,166,33,10,0,1,10,149,0.214,0,0.0,1,0.194
U00023,38.0,Male,Canada,iOS,Free,55,15,16.52,81,14,1,0,0,21,142,0.092,4,159.85,0,0.699
