user_id,age,gender,country,device_type,subscription_type,days_active,total_sessions,avg_session_duration_min,screen_views,clicks,likes,shares,comments,searches,notifications_received,notification_open_rate,purchases,total_spend,retained_30d,churn_risk_score,cluster,segment_name,pca_1,pca_2
U00004,60.0,Female,India,Android,Free,183,26,9.18,201,33,6,1,1,11,12,0.452,0,0.0,1,0.129,0,High Users,0.6532258012938434,-1.7384993603689722
U00009,40.0,Female,India,Android,Free,126,27,11.79,238,40,10,2,1,9,160,0.231,1,29.43,1,0.117,0,High Users,1.5769634890371471,-1.0347413291370569
U00012,41.0,Female,USA,Android,Basic,76,29,13.84,262,59,12,0,0,9,35,0.627,6,147.96,1,0.082,0,High Users,1.3915106764528098,-1.3759755653251604
U00015,41.0,Female,India,iOS,Free,261,34,13.64,149,37,9,2,1,11,152,0.104,3,31.72,0,0.027,0,High Users,1.768488407831502,-1.8266785087843016
U00016,20.0,Male,India,iOS,Basic,216,24,7.27,164,31,4,0,1,5,75,0.343,2,114.01,0,0.29,0,High Users,-0.4187245755696874,-0.7809784665062885
U00041,42.0,Female,Canada,Android,Free,240,31,14.28,283,61,24,0,2,20,158,0.589,1,42.67,0,0.048,0,High Users,3.448670578121315,-1.0234467848810744
U00042,31.0,Female,India,iOS,Premium,100,31,8.74,235,57,8,0,1,14,5,0.19,3,31.29,1,0.4,0,High Users,0.9350514992715463,-0.5952781879622209
U00049,25.0,Male,India,iOS,Basic,223,31,7.58,166,24,1,0,0,12,73,0.117,0,0.0,1,0.0,0,High Users,-0.13832413502027538,-3.366935564033404
U00055,21.0,Male,USA,iOS,Basic,155,29,13.1,243,49,3,0,0,7,24,0.241,4,215.01,0,0.424,0,High Users,0.11796012000052837,-0.33858243335151905
U00065,53.0,Male,UK,Android,Free,152,26,13.34,252,62,9,0,0,10,75,0.363,1,40.41,0,0.511,0,High Users,0.5884784771209745,0.49463483666497743
U00072,57.0,Female,USA,iOS,Premium,248,29,13.41,241,45,7,1,1,11,130,0.039,2,177.32,0,0.13,0,High Users,1.5436525352226622,-1.409011713710709
U00074,33.0,Male,Canada,iOS,Free,243,38,2.29,336,61,10,0,3,18,65,0.285,1,13.82,0,0.025,0,High Users,3.480118210218088,-1.9106417232168396
U00077,43.0,Male,Canada,Android,Free,129,28,15.5,259,44,15,2,0,9,167,0.423,1,68.89,0,0.371,0,High Users,1.54434248983483,0.646248479201356
U00079,58.0,Female,Australia,Android,Free,158,29,20.59,269,26,2,0,0,9,173,0.534,2,98.35,0,0.385,0,High Users,-0.3119876890891784,-0.6683379286131759
U00096,22.0,Male,India,iOS,Free,216,29,5.68,223,55,4,0,0,9,172,0.117,3,70.99,1,0.032,0,High Users,0.9912396923767549,-2.8020089628761213
U00104,29.0,Female,India,Android,Basic,238,35,14.79,203,45,3,0,0,15,95,0.661,3,73.46,1,0.0,0,High Users,1.0322752344233341,-3.5010856301120326
U00105,51.0,Female,India,iOS,Premium,210,24,11.22,129,36,9,2,0,16,142,0.589,2,89.72,0,0.184,0,High Users,0.4188049894558262,-0.5540599695190888
U00111,57.0,Female,USA,iOS,Free,211,33,9.43,183,26,8,0,2,10,123,0.496,3,107.98,1,0.0,0,High Users,1.098281161008161,-2.8125313495711075
U00117,54.0,Female,UK,iOS,Basic,244,28,11.85,286,34,8,1,2,8,11,0.217,1,38.5,1,0.0,0,High Users,2.0454145396858947,-2.4792141239586893
U00118,31.0,Male,USA,Android,Basic,189,32,1.0,152,18,4,0,0,13,153,0.281,2,93.33,1,0.071,0,High Users,-0.28346848964179155,-2.8950753434725276
U00124,56.0,Male,India,Android,Basic,210,35,4.45,212,46,10,1,0,14,158,0.24,3,128.96,1,0.0,0,High Users,1.8644748227215444,-2.8109345969619897
U00127,32.0,Female,Australia,iOS,Free,89,27,14.46,280,47,8,0,2,11,54,0.576,2,79.31,1,0.241,0,High Users,1.1305698052750377,-0.7271689448246391
U00130,59.0,Male,India,Android,Free,221,27,16.8,245,57,9,2,1,18,179,0.568,1,34.99,0,0.263,0,High Users,1.9707585496760127,-0.2594401341768109
U00136,47.0,Female,India,Android,Free,150,32,12.92,193,24,4,0,0,11,119,0.492,0,0.0,0,0.287,0,High Users,-0.40501313380908266,-0.9995298579436636
U00137,54.0,Male,UK,iOS,Premium,120,29,8.72,312,33,3,0,0,11,74,0.092,2,54.1,0,0.341,0,High Users,0.10819333639407559,-0.4794116243817425
U00138,40.0,Female,Singapore,iOS,Free,204,28,4.28,209,40,15,0,2,13,101,0.304,2,12.88,1,0.0,0,High Users,1.7483796243048115,-2.1061921000245483
U00141,60.0,Female,UK,Android,Basic,229,27,17.94,288,39,11,2,3,14,123,0.246,4,669.35,1,0.0,0,High Users,2.934699299556278,-1.8795255648372369
U00147,39.0,Female,UK,Android,Basic,41,29,8.2,397,34,6,0,1,6,130,0.145,1,27.91,0,0.404,0,High Users,0.7580593551286917,0.5412633974884055
U00157,45.0,Male,India,Android,Free,173,36,12.1,180,48,3,0,0,14,150,0.265,5,365.72,1,0.0,0,High Users,0.8495631567603104,-3.142727979249529
U00161,18.0,Other,Australia,Android,Free,76,33,15.42,161,41,12,0,3,8,174,0.184,1,8.31,1,0.137,0,High Users,1.2605549045420645,-1.0084345755148403
U00170,26.0,Female,USA,iOS,Basic,210,28,1.0,260,24,6,1,0,16,84,0.249,0,0.0,0,0.293,0,High Users,0.41726701109255027,-0.8711933014158769
U00172,50.0,Female,UK,iOS,Free,274,26,13.42,108,13,3,0,0,14,29,0.131,4,211.05,0,0.246,0,High Users,-1.1317839296612842,-1.784042307659985
U00174,41.0,Male,Germany,Android,Premium,121,31,14.94,325,27,1,0,0,11,54,0.512,1,36.4,0,0.212,0,High Users,0.17970327142550258,-1.133388242214281
U00175,32.0,Female,India,iOS,Basic,156,32,15.61,243,55,6,1,1,15,24,0.23,1,17.4,1,0.034,0,High Users,1.8354915895483483,-2.0892541147596138
U00182,19.0,Male,Singapore,Android,Basic,53,33,16.18,238,61,5,0,0,9,178,0.257,2,17.78,0,0.387,0,High Users,0.46904815386887283,0.19562557085018134
U00185,34.0,Male,Australia,Android,Free,159,28,5.29,186,28,10,2,2,16,150,0.268,4,76.15,0,0.363,0,High Users,0.9880380923828145,0.4299967212222231
U00189,40.0,Male,India,Android,Basic,246,25,7.04,229,54,6,1,0,12,115,0.554,4,77.9,0,0.278,0,High Users,0.9382675421516872,-0.798040883198657
U00195,19.0,Male,UK,iOS,Free,313,32,11.73,193,47,12,2,0,8,112,0.096,1,95.27,0,0.172,0,High Users,2.0879168835624635,-1.568454480388312
U00199,49.0,Female,USA,Android,Basic,365,23,4.88,173,26,6,0,0,15,103,0.379,2,52.21,0,0.0,0,High Users,0.16719255431108312,-2.80873373496691
U00201,28.0,Female,India,iOS,Free,243,28,9.83,293,75,6,1,1,18,134,0.042,4,219.47,0,0.333,0,High Users,2.1862125425907424,-0.5178684535108582
U00202,34.0,Male,India,iOS,Basic,218,22,14.54,199,30,10,1,3,11,116,0.305,2,2.48,1,0.0,0,High Users,1.3899920974115139,-1.7315141911296619
U00210,33.0,Male,UK,Android,Free,165,31,13.59,194,42,11,1,1,7,151,0.443,3,42.27,0,0.305,0,High Users,1.1108950278360707,-0.21127740938075565
U00215,46.0,Female,UK,iOS,Free,125,28,16.58,265,36,11,1,3,14,152,0.504,3,192.61,1,0.119,0,High Users,1.9255249297466577,-1.0169294678858634
U00216,20.0,Male,India,Android,Free,187,29,6.95,178,20,1,0,0,9,51,0.159,0,0.0,0,0.269,0,High Users,-0.8429584065868986,-1.2812541183046298
U00217,37.0,Male,Canada,Android,Premium,73,37,21.09,328,46,10,1,0,12,12,0.366,1,45.86,0,0.284,0,High Users,1.7661204562841155,-0.20923984881291327
U00219,36.0,Male,India,Android,Basic,171,35,19.85,287,44,18,1,2,12,103,0.646,5,185.73,0,0.314,0,High Users,2.7084893464118442,-0.05937226034449734
U00226,58.0,Male,USA,Android,Free,211,31,8.68,254,26,2,0,0,17,148,0.081,6,171.43,1,0.151,0,High Users,0.30016095426197303,-2.8176486162137486
U00232,18.0,Male,Germany,Android,Free,266,34,14.89,199,44,2,0,0,15,134,0.57,3,175.16,0,0.023,0,High Users,0.8113611768808002,-2.748046448628604
U00235,42.0,Male,USA,iOS,Basic,93,27,2.77,324,95,6,0,1,13,16,0.142,0,0.0,1,0.159,0,High Users,2.2646827443181583,-0.9279930054159703
U00249,49.0,Male,USA,Android,Free,191,31,25.42,209,32,9,1,1,10,158,0.103,1,33.37,1,0.062,0,High Users,1.3084229495695727,-2.2158273322377884
U00255,20.0,Female,Canada,iOS,Premium,159,26,12.62,208,30,12,2,3,12,167,0.162,6,100.41,1,0.054,0,High Users,1.9422588706781587,-1.1090255205957686
U00256,37.0,Female,Singapore,Android,Basic,141,25,17.57,244,34,8,0,0,12,172,0.365,6,72.55,1,0.038,0,High Users,0.415799514887448,-2.061158010458306
U00257,41.0,Female,USA,iOS,Premium,139,29,14.7,350,40,16,0,2,12,47,0.582,4,118.51,1,0.052,0,High Users,2.4517964059270487,-1.5709345241979633
U00260,28.0,Female,India,Android,Premium,209,28,16.54,136,19,7,0,2,15,63,0.267,3,131.42,0,0.282,0,High Users,-0.17813703859156813,-0.8128657894543657
U00263,55.0,Female,Canada,Android,Free,264,25,8.18,143,23,3,0,0,10,135,0.188,0,0.0,0,0.222,0,High Users,-0.7733777799796127,-1.6232729471257321
U00265,37.0,Male,India,iOS,Free,106,26,13.57,280,81,7,1,0,8,26,0.218,1,45.92,0,0.48,0,High Users,1.323765221253149,0.9807783267723587
U00266,52.0,Male,India,iOS,Premium,197,35,18.46,214,26,4,0,0,9,81,0.161,3,36.85,0,0.055,0,High Users,0.3996708449128641,-2.270371344470529
U00274,52.0,Female,USA,iOS,Basic,194,27,11.38,205,29,4,0,0,13,101,0.814,2,44.65,0,0.429,0,High Users,-0.5438787008270627,-0.5241799050066838
U00275,33.0,Female,UK,iOS,Free,206,29,13.64,257,28,3,0,0,5,127,0.307,3,37.83,0,0.2,0,High Users,0.11542630641172834,-1.5385790679069018
U00276,58.0,Female,Australia,Android,Free,146,29,8.86,231,36,10,0,3,9,82,0.522,5,41.03,1,0.162,0,High Users,1.3692587295179814,-1.3161256884606933
U00282,38.0,Female,Australia,Android,Free,144,29,6.68,181,31,10,0,0,14,174,0.399,7,204.97,0,0.24,0,High Users,0.007690166147978061,-0.717585074627031
U00285,24.0,Male,USA,iOS,Free,200,22,13.19,153,44,6,0,1,8,87,0.21,1,33.5,0,0.235,0,High Users,-0.13321059298919274,-0.5647172288539294
U00294,55.0,Female,India,Android,Free,168,27,6.36,151,40,13,1,3,16,69,0.31,2,110.22,0,0.352,0,High Users,1.1585780285518328,0.5335824920627592
U00297,44.0,Female,Australia,iOS,Basic,256,28,9.92,155,20,7,1,1,6,140,0.155,5,68.77,0,0.237,0,High Users,0.26604568451226446,-1.194966921169089
U00298,51.0,Female,USA,Android,Premium,87,26,2.93,300,65,9,0,0,11,76,0.15,3,191.51,0,0.347,0,High Users,0.9535698517911773,0.37684742143196936
U00301,50.0,Male,Australia,iOS,Free,250,26,11.53,189,25,7,0,1,14,62,0.241,4,44.34,0,0.324,0,High Users,-0.01920832294561787,-0.9623388896201015
U00305,36.0,Male,USA,Android,Free,154,33,9.79,138,29,2,0,0,12,55,0.353,2,5.11,0,0.332,0,High Users,-0.7229926061009018,-0.9775987097446427
