user_id,age,gender,country,device_type,subscription_type,days_active,total_sessions,avg_session_duration_min,screen_views,clicks,likes,shares,comments,searches,notifications_received,notification_open_rate,purchases,total_spend,retained_30d,churn_risk_score,cluster,segment_name,pca_1,pca_2
U00001,56.0,Female,India,iOS,Basic,96,22,4.49,107,10,1,0,0,9,24,0.122,4,59.82,0,0.448,1,Low Users,-2.4145484481587234,0.2452846753055731
U00003,32.0,Male,India,Android,Basic,56,22,15.89,129,27,3,0,0,13,12,0.198,3,95.08,0,0.608,1,Low Users,-2.0537056354150436,1.221646822567874
U00007,56.0,Female,USA,iOS,Basic,30,21,6.5,203,22,7,0,0,10,146,0.097,4,426.5,0,0.688,1,Low Users,-1.6856359820304276,1.7815030619917045
U00013,53.0,Female,India,Android,Basic,40,27,7.49,130,19,8,0,2,12,85,0.25,4,114.95,0,0.383,1,Low Users,-0.8622577635109755,0.7682000299309938
U00018,19.0,Female,India,Android,Basic,140,18,15.78,103,18,4,0,0,12,20,0.65,6,51.65,0,0.436,1,Low Users,-2.109382150278039,0.3019481528886218
U00020,47.0,Female,India,iOS,Premium,56,17,10.64,81,10,1,0,0,12,107,0.304,1,52.5,0,0.6,1,Low Users,-3.1899600401038617,1.3188324356394447
U00021,55.0,Female,Singapore,Android,Free,22,13,9.4,149,35,3,0,0,11,0,0.203,3,212.37,0,0.637,1,Low Users,-2.4207169882970803,2.101995218351277
U00023,38.0,Male,Canada,iOS,Free,55,15,16.52,81,14,1,0,0,21,142,0.092,4,159.85,0,0.699,1,Low Users,-3.319546533514416,1.7442556259457696
U00024,50.0,Male,India,iOS,Basic,85,30,13.05,224,42,15,1,1,13,175,0.21,4,126.21,0,0.535,1,Low Users,0.9764717841347843,1.2632952876004806
U00025,29.0,Male,Canada,Android,Basic,84,20,15.05,53,15,5,0,0,14,85,0.467,1,49.33,0,0.638,1,Low Users,-2.730522347285834,1.280156882501225
U00026,39.0,Female,UK,iOS,Free,139,24,14.55,144,34,8,1,1,8,50,0.373,3,56.27,0,0.536,1,Low Users,-0.3741824078380266,0.9572764863310459
U00031,33.0,Female,UK,Android,Premium,16,17,5.96,162,37,7,0,1,5,53,0.057,1,74.31,0,0.725,1,Low Users,-1.6707528429959835,2.564047414555593
U00033,20.0,Female,USA,Android,Premium,60,21,10.67,160,21,5,1,1,14,164,0.233,1,61.07,0,0.514,1,Low Users,-1.215718976815916,1.3803566318646032
U00034,54.0,Female,UK,Android,Free,106,22,12.49,170,29,7,1,0,16,141,0.159,3,231.7,0,0.296,1,Low Users,-0.5785836673472114,0.22978358095937762
U00036,38.0,Female,India,Android,Free,48,30,12.48,196,28,6,0,1,12,117,0.273,2,104.35,0,0.572,1,Low Users,-0.6829231087674398,0.9784699213964484
U00043,26.0,Female,UK,Android,Basic,94,25,13.42,166,21,4,0,0,11,30,0.412,3,195.97,0,0.443,1,Low Users,-1.4041074010799623,0.23629112178103015
U00044,43.0,Male,India,Android,Basic,42,22,15.02,228,19,6,0,0,12,171,0.543,2,82.32,0,0.607,1,Low Users,-1.507167332224923,1.3655608273001687
U00052,34.0,Female,Singapore,Android,Free,73,26,3.13,137,37,6,0,1,11,101,0.244,3,65.6,0,0.368,1,Low Users,-0.719216411276308,0.4509667398212573
U00054,57.0,Female,Singapore,Android,Basic,104,20,15.69,96,23,9,2,0,9,67,0.314,0,0.0,0,0.471,1,Low Users,-1.0301464296291902,1.2731148650362982
U00057,23.0,Female,UK,iOS,Basic,20,18,12.24,57,5,1,0,0,13,8,0.287,3,71.16,0,0.578,1,Low Users,-3.4691670714653644,1.3907848601200157
U00058,59.0,Female,UK,iOS,Basic,45,25,4.8,182,47,6,0,1,18,118,0.437,3,89.05,0,0.57,1,Low Users,-0.6111299518031339,1.4102849439324596
U00060,46.0,Female,USA,Android,Free,130,23,10.76,75,13,0,0,0,13,26,0.342,1,19.1,0,0.318,1,Low Users,-2.2802174191153353,-0.46324665305034984
U00061,35.0,Other,USA,Android,Premium,19,20,23.52,131,16,7,0,2,19,8,0.244,2,178.94,0,0.694,1,Low Users,-1.8682310340928934,2.2525078233201907
U00062,43.0,Male,India,iOS,Free,29,19,11.47,152,26,3,0,0,16,176,0.122,3,59.24,0,0.543,1,Low Users,-2.131061282769679,1.350463428312163
U00064,27.0,Male,Australia,iOS,Premium,146,26,12.31,122,36,10,1,0,14,50,0.182,3,166.47,0,0.477,1,Low Users,-0.3435507693292521,0.5148369777099268
U00066,31.0,Male,USA,Android,Free,162,24,12.66,162,29,3,0,0,11,170,0.228,4,85.57,0,0.397,1,Low Users,-1.094347382427142,-0.2966201243453828
U00067,48.0,Male,USA,Android,Free,114,25,24.96,191,44,9,0,1,11,145,0.391,2,27.62,0,0.321,1,Low Users,0.1095942774170608,0.22592069627731232
U00075,35.0,Female,India,iOS,Free,94,22,8.58,178,22,1,0,0,12,0,0.123,2,38.69,0,0.432,1,Low Users,-1.6994820360601288,0.2764384888955528
U00078,42.0,Female,Singapore,Android,Basic,101,27,1.83,197,18,2,0,0,10,98,0.099,0,0.0,0,0.425,1,Low Users,-1.2975957792936714,-0.05151101126509306
U00082,18.0,Female,USA,Android,Free,17,20,12.97,202,38,9,1,2,11,61,0.453,4,101.91,0,0.571,1,Low Users,-0.27921469716414177,2.3276054180409513
U00084,24.0,Male,Australia,iOS,Premium,68,25,13.76,158,34,12,1,2,13,12,0.394,2,49.35,0,0.499,1,Low Users,0.11612499640003726,1.573425335620557
U00086,41.0,Male,USA,Android,Free,157,21,2.31,102,13,1,0,0,9,106,0.373,3,85.88,0,0.555,1,Low Users,-2.3762416625537797,0.2713688613019306
U00089,41.0,Male,Singapore,Android,Free,65,26,12.11,120,17,4,0,0,17,145,0.339,3,106.11,0,0.562,1,Low Users,-1.956225331769936,0.7535829253346137
U00093,52.0,Female,India,Android,Free,172,23,13.05,188,36,2,0,0,16,20,0.353,2,33.55,0,0.393,1,Low Users,-0.8755327508348363,-0.30564083102075457
U00094,52.0,Female,Australia,iOS,Free,137,25,1.0,100,15,6,0,1,16,169,0.14,0,0.0,0,0.365,1,Low Users,-1.3410360018176952,-0.06342650728974931
U00095,50.0,Female,Germany,iOS,Basic,13,26,19.35,184,17,5,0,0,12,68,0.311,2,63.82,0,0.534,1,Low Users,-1.6420538068058312,1.047273778645874
U00098,56.0,Male,UK,Android,Free,110,20,6.55,132,39,5,0,0,16,31,0.172,1,27.76,0,0.399,1,Low Users,-1.309016912487655,0.46272938605537955
U00099,58.0,Male,Canada,Android,Free,99,30,13.31,110,16,2,0,0,7,150,0.342,1,77.13,0,0.426,1,Low Users,-1.6703673315307803,-0.20824370409360912
U00100,45.0,Other,USA,Android,Premium,72,28,11.47,235,60,7,1,0,12,150,0.206,0,0.0,0,0.429,1,Low Users,0.6187775205908304,0.8027844490383608
