user_id,age,gender,country,device_type,subscription_type,days_active,total_sessions,avg_session_duration_min,screen_views,clicks,likes,shares,comments,searches,notifications_received,notification_open_rate,purchases,total_spend,retained_30d,churn_risk_score,cluster,segment_name,pca_1,pca_2
U00002,46.0,Female,India,Android,Free,111,27,7.75,268,42,18,3,4,11,142,0.435,0,0.0,0,0.325,2,Moderate Users,3.0421907349141906,1.6655245262169454
U00006,38.0,Male,Canada,iOS,Free,279,27,1.0,236,58,17,2,5,13,43,0.234,6,62.23,1,0.0,2,Moderate Users,4.133621945995816,-1.4410578359227695
U00008,36.0,Female,India,Android,Basic,55,28,12.42,230,68,11,2,2,14,28,0.079,3,59.76,0,0.443,2,Moderate Users,1.8618142117757877,1.7020228681772411
U00014,57.0,Female,Australia,Android,Premium,96,36,13.27,374,70,30,1,2,7,41,0.615,4,167.02,1,0.293,2,Moderate Users,4.641631672851307,0.09525594688911673
U00037,26.0,Female,India,iOS,Free,76,20,5.88,214,60,21,2,0,12,21,0.272,1,70.65,0,0.582,2,Moderate Users,1.1765496857465196,2.5086975021049738
U00038,56.0,Male,India,iOS,Basic,77,27,9.32,165,48,14,2,2,15,157,0.539,2,28.62,0,0.346,2,Moderate Users,1.32681287606032,1.3075126005310649
U00051,31.0,Male,USA,Android,Basic,236,32,12.78,299,43,17,2,5,17,124,0.371,6,221.64,1,0.0,2,Moderate Users,4.316252071461011,-1.5833375208983393
U00059,21.0,Male,India,Android,Free,105,30,17.13,323,83,17,3,3,12,147,0.377,4,89.77,0,0.417,2,Moderate Users,4.111308282903291,1.868350481362551
U00070,31.0,Male,Australia,Android,Free,126,21,23.65,145,41,17,3,5,16,165,0.114,6,204.02,1,0.133,2,Moderate Users,2.5547109652695457,0.47350082462770143
U00071,40.0,Female,India,Android,Free,81,30,19.43,242,61,24,2,4,11,138,0.466,1,42.84,1,0.205,2,Moderate Users,3.773440920303434,0.5577361008351895
U00076,41.0,Male,India,iOS,Premium,143,33,10.82,371,59,17,3,1,14,9,0.121,3,63.92,0,0.156,2,Moderate Users,3.925671998753018,0.08607332508614782
U00088,25.0,Male,India,Android,Free,174,24,12.58,229,57,15,3,3,10,17,0.268,1,16.75,1,0.113,2,Moderate Users,3.1176266208981143,-0.33348146229583353
U00092,25.0,Male,UK,Android,Free,77,29,14.09,275,38,15,3,2,8,2,0.209,0,0.0,0,0.394,2,Moderate Users,2.2066116520265475,1.5350526003258647
U00107,40.0,Male,Canada,Android,Basic,217,22,8.03,217,45,16,1,4,10,151,0.126,1,24.28,1,0.072,2,Moderate Users,2.4323683516891745,-0.9912135527416355
U00115,18.0,Male,Singapore,Android,Free,34,30,15.35,184,54,20,2,5,14,22,0.272,2,88.86,0,0.543,2,Moderate Users,2.560110775519609,2.811404755509136
U00125,44.0,Male,Canada,Android,Free,173,24,17.81,361,104,30,0,5,19,133,0.255,2,48.04,1,0.018,2,Moderate Users,5.644107877548366,-0.16095801411692587
U00128,32.0,Male,Singapore,Android,Premium,350,37,9.88,353,60,19,4,6,8,144,0.327,3,51.83,0,0.0,2,Moderate Users,6.6724221117423,-0.9170305987265687
U00131,30.0,Female,USA,iOS,Free,102,35,9.47,304,80,32,3,5,8,160,0.536,1,33.16,1,0.036,2,Moderate Users,6.33338210274051,0.4089257766770733
U00132,49.0,Female,India,iOS,Free,115,25,17.93,197,56,24,1,4,11,47,0.572,2,77.96,1,0.0,2,Moderate Users,3.1017366209501227,-0.3216902577293232
U00139,56.0,Female,Canada,iOS,Free,100,25,3.65,193,48,21,2,2,10,4,0.16,4,144.72,0,0.551,2,Moderate Users,1.6892819884080805,2.1813768572752816
U00155,47.0,Male,Australia,iOS,Free,117,31,14.04,238,37,12,2,3,9,23,0.074,3,364.47,1,0.078,2,Moderate Users,2.4315740053816914,-1.0067185817618385
U00156,28.0,Female,Australia,Android,Free,46,22,9.05,155,45,19,4,4,9,48,0.18,4,234.51,0,0.501,2,Moderate Users,2.182896814922836,3.2374745902468227
U00159,56.0,Female,India,Android,Basic,139,30,10.38,243,63,21,1,2,12,123,0.107,2,54.89,0,0.312,2,Moderate Users,2.7045282013091856,0.7188428351852698
U00168,25.0,Female,USA,Android,Free,67,26,1.69,198,52,11,2,3,15,52,0.228,2,80.77,1,0.131,2,Moderate Users,1.943072110748278,-0.09035029126802488
U00176,49.0,Male,Australia,iOS,Premium,103,36,3.2,204,44,17,3,0,12,138,0.388,3,106.6,0,0.158,2,Moderate Users,2.3825308815942603,-0.018861907568867724
U00178,41.0,Female,Germany,Android,Basic,33,30,11.52,269,44,17,3,1,10,167,0.164,1,14.49,0,0.575,2,Moderate Users,1.90617184831365,2.3226836229768524
U00180,29.0,Other,Germany,Android,Basic,105,32,7.11,322,92,13,2,2,11,70,0.354,0,0.0,0,0.351,2,Moderate Users,3.6187542545275813,1.0890363662320706
U00183,20.0,Female,USA,Android,Premium,103,24,13.58,225,52,20,2,3,9,135,0.186,1,27.48,1,0.204,2,Moderate Users,2.6330579950934787,0.37352256623788216
U00196,43.0,Male,UK,Android,Free,31,26,8.07,358,101,41,6,10,12,54,0.299,3,88.88,1,0.379,2,Moderate Users,8.922364721406007,4.483696278625647
U00198,23.0,Female,Germany,Android,Free,51,35,10.38,280,61,21,2,4,15,97,0.123,1,67.44,0,0.425,2,Moderate Users,3.605734496960988,1.9314261850502947
U00203,55.0,Male,Australia,iOS,Basic,152,28,13.82,213,47,15,1,4,10,173,0.257,3,25.4,0,0.327,2,Moderate Users,2.1253794203081453,0.781065016165256
U00208,39.0,Male,Canada,iOS,Free,113,27,14.25,211,39,16,2,1,12,116,0.188,3,176.89,0,0.338,2,Moderate Users,1.405661623843101,0.8493252857813454
U00218,53.0,Male,USA,iOS,Basic,81,26,9.84,255,61,11,1,3,17,163,0.139,1,93.62,1,0.232,2,Moderate Users,2.061145006264411,-0.04485884674160943
U00220,43.0,Male,India,Android,Free,32,30,19.43,308,56,17,2,4,11,11,0.297,0,0.0,0,0.524,2,Moderate Users,2.88223655180858,2.488403154282356
U00229,56.0,Male,USA,Android,Free,99,26,14.04,217,55,23,3,1,21,175,0.262,0,0.0,0,0.51,2,Moderate Users,2.33439134092498,2.206659316588061
U00241,24.0,Female,Australia,iOS,Basic,67,27,11.3,196,57,14,1,2,21,169,0.495,1,45.73,1,0.233,2,Moderate Users,1.589775658186471,-0.050894590147880545
U00251,58.0,Female,India,iOS,Premium,178,28,19.6,228,65,17,1,4,9,147,0.235,1,31.97,0,0.217,2,Moderate Users,3.006495359063016,0.4480337593441573
U00268,52.0,Female,UK,iOS,Free,180,32,2.96,282,66,27,2,8,12,61,0.445,0,0.0,0,0.38,2,Moderate Users,5.42933263995504,2.0204729601949607
U00291,39.0,Other,Canada,Android,Free,92,29,16.41,305,48,19,4,6,13,165,0.454,1,38.38,0,0.424,2,Moderate Users,4.275329370489137,2.6125766324711686
U00295,25.0,Male,Singapore,Android,Free,56,23,2.56,235,65,16,2,1,13,17,0.205,0,0.0,0,0.472,2,Moderate Users,1.5664090282355256,2.1196803525514265
U00296,44.0,Male,India,iOS,Free,127,36,20.91,266,61,13,1,3,10,156,0.182,5,84.2,0,0.309,2,Moderate Users,2.823316501018052,0.25727607922286017
U00313,52.0,Other,USA,iOS,Premium,174,30,8.64,244,57,24,0,6,8,97,0.237,1,53.1,1,0.0,2,Moderate Users,4.023847191015643,-0.9125344374001991
U00326,35.0,Male,India,iOS,Basic,96,29,14.31,342,39,10,2,3,12,33,0.245,4,389.6,1,0.223,2,Moderate Users,2.58673664672089,-0.3735560795611542
U00327,42.0,Male,Singapore,Android,Free,234,31,9.19,303,60,18,1,3,16,159,0.241,4,87.97,0,0.2,2,Moderate Users,3.5287514501262454,-0.3573073867960174
U00337,44.0,Male,Canada,iOS,Basic,171,26,15.62,244,65,22,3,2,10,132,0.18,3,28.84,1,0.094,2,Moderate Users,3.7832625289761923,-0.34068170866974246
U00340,43.0,Male,Germany,Android,Free,108,39,10.27,264,78,24,3,2,13,54,0.21,3,187.61,0,0.265,2,Moderate Users,4.621451489646815,0.9218774118024787
U00348,59.0,Other,USA,iOS,Premium,10,29,5.22,253,72,19,3,2,14,52,0.254,3,148.57,0,0.66,2,Moderate Users,2.6563887920652793,3.22645669283149
U00351,42.0,Female,India,Android,Basic,273,30,10.49,292,76,23,3,1,8,141,0.332,5,307.07,0,0.169,2,Moderate Users,4.529562363822922,-0.23552443751067204
U00353,30.0,Female,Singapore,Android,Free,79,28,3.52,198,56,22,2,3,9,74,0.333,1,36.3,1,0.327,2,Moderate Users,2.718078941030943,0.8343342998651522
U00368,40.0,Female,Singapore,Android,Basic,64,22,4.74,230,64,25,4,1,11,31,0.325,2,64.99,0,0.413,2,Moderate Users,2.90103818648324,2.724418774713558
U00369,39.0,Male,UK,iOS,Free,56,23,4.23,292,84,7,1,1,19,114,0.193,2,141.19,1,0.37,2,Moderate Users,1.6298825755278004,0.4122848982080515
U00371,39.0,Female,UK,Android,Premium,98,23,12.05,228,58,12,1,2,16,52,0.512,0,0.0,0,0.471,2,Moderate Users,1.1081770962341322,1.555447199665139
U00374,23.0,Male,UK,iOS,Premium,181,33,12.3,228,67,27,6,5,14,133,0.079,4,244.15,0,0.321,2,Moderate Users,5.973654862808347,2.163018888130526
U00379,25.0,Female,Germany,iOS,Premium,227,26,12.4,281,45,18,0,4,11,31,0.18,3,141.49,0,0.332,2,Moderate Users,2.446412391299694,0.23994823151877104
U00385,47.0,Female,USA,Android,Basic,100,24,22.6,203,40,13,3,2,5,56,0.156,2,32.74,0,0.401,2,Moderate Users,1.471119912543079,1.6248191140593027
U00387,57.0,Other,India,Android,Free,73,22,10.47,233,63,16,0,5,18,70,0.232,2,33.76,1,0.153,2,Moderate Users,2.3107371220192165,0.2848177611439063
U00389,30.0,Female,USA,Android,Free,58,28,15.32,182,45,18,3,3,15,125,0.224,2,158.85,0,0.52,2,Moderate Users,2.031846567782432,2.4467182139456813
U00392,36.0,Female,India,iOS,Free,88,31,12.44,309,87,29,2,8,13,9,0.072,3,129.66,0,0.388,2,Moderate Users,5.902599058554302,2.8966913450122265
U00396,43.0,Female,USA,iOS,Basic,42,24,2.7,191,43,16,3,1,13,64,0.141,2,143.41,0,0.425,2,Moderate Users,1.2175372019223267,2.0656830006494173
U00398,43.0,Female,USA,Android,Premium,49,28,13.0,241,56,23,1,7,7,139,0.072,4,193.57,1,0.282,2,Moderate Users,3.6725932870311184,1.2848804319461484
U00408,18.0,Male,Canada,Android,Basic,78,25,8.26,297,58,19,3,3,10,65,0.068,1,73.96,1,0.215,2,Moderate Users,3.452509355735195,0.7312585777219729
U00409,33.0,Male,Canada,iOS,Free,89,29,14.88,275,66,26,4,7,13,174,0.352,3,129.47,0,0.372,2,Moderate Users,5.344550871192909,3.00610526069777
