user_id,age,gender,country,device_type,subscription_type,days_active,total_sessions,avg_session_duration_min,screen_views,clicks,likes,shares,comments,searches,notifications_received,notification_open_rate,purchases,total_spend,retained_30d,churn_risk_score,cluster,segment_name,pca_1,pca_2
U00005,25.0,Male,USA,Android,Free,153,28,15.08,126,24,3,0,1,10,35,0.441,1,30.97,1,0.0,3,Occasional Users,-0.3741343209380224,-2.4755398627610345
U00010,28.0,Male,USA,Android,Free,247,25,1.35,140,16,2,0,0,7,3,0.477,3,42.11,1,0.0,3,Occasional Users,-0.6904028929679012,-3.1980782463994797
U00011,39.0,Female,Singapore,iOS,Premium,190,20,4.26,145,18,3,0,0,18,30,0.299,2,20.74,1,0.078,3,Occasional Users,-1.12169199496488,-2.2323924607058148
U00017,39.0,Female,Singapore,iOS,Premium,130,19,7.93,127,23,9,0,1,10,118,0.297,3,176.32,1,0.241,3,Occasional Users,-0.8728641805487051,-0.8154961362107039
U00019,41.0,Male,USA,iOS,Free,109,24,9.04,231,60,5,0,1,14,44,0.662,1,99.84,1,0.448,3,Occasional Users,0.3195562032335906,-0.18305595908694808
U00022,19.0,Female,India,Android,Free,117,25,11.17,166,33,10,0,1,10,149,0.214,0,0.0,1,0.194,3,Occasional Users,0.02742547366162906,-1.0932833581447226
U00027,42.0,Male,USA,Android,Basic,39,24,7.24,170,15,4,0,1,9,134,0.253,3,17.35,1,0.373,3,Occasional Users,-1.3260627233880011,-0.29129993735808246
U00028,44.0,Male,USA,Android,Basic,87,27,14.27,161,31,2,0,0,13,90,0.324,3,94.06,1,0.245,3,Occasional Users,-0.88173855188464,-1.350614738708303
U00029,59.0,Other,UK,Android,Basic,101,18,20.19,198,38,11,0,2,9,15,0.352,0,0.0,1,0.087,3,Occasional Users,0.32440388423730976,-0.7132172276776593
U00030,45.0,Male,India,Android,Free,53,26,12.02,174,52,11,1,2,15,158,0.281,2,73.55,1,0.347,3,Occasional Users,0.889547083984521,0.32317215831564255
U00032,32.0,Female,USA,Android,Basic,88,17,13.54,158,16,2,0,0,8,123,0.148,2,121.36,1,0.425,3,Occasional Users,-2.0862229818837434,-0.29629233065192995
U00035,24.0,Other,USA,iOS,Free,101,18,14.3,147,13,3,0,0,5,170,0.07,5,328.76,1,0.274,3,Occasional Users,-1.8416260890164857,-0.9544417991084537
U00039,35.0,Female,Canada,iOS,Basic,77,21,12.36,172,21,7,1,1,13,27,0.265,3,17.73,1,0.226,3,Occasional Users,-0.47889082006991696,-0.4791486344669018
U00040,21.0,Female,Australia,Android,Free,109,19,10.34,133,24,7,0,0,8,112,0.147,1,77.05,1,0.226,3,Occasional Users,-1.2615266623880925,-0.9367216618086981
U00045,19.0,Male,India,iOS,Free,64,27,8.14,131,38,4,0,1,7,174,0.219,3,129.06,1,0.231,3,Occasional Users,-0.5523717663255939,-0.9409379269486052
U00046,37.0,Male,India,iOS,Free,84,23,6.48,188,24,5,1,0,15,151,0.341,2,79.39,1,0.208,3,Occasional Users,-0.5411523016950913,-0.9213341672761596
U00047,45.0,Female,India,iOS,Free,92,23,19.26,168,20,5,0,1,14,84,0.491,5,530.43,1,0.156,3,Occasional Users,-0.7275852756355542,-1.3129208242597554
U00048,24.0,Male,India,Android,Free,65,15,20.2,79,8,1,0,0,9,70,0.22,1,21.6,1,0.37,3,Occasional Users,-2.9428296710350317,-0.2676666600796366
