user_id,age,gender,country,device_type,subscription_type,days_active,total_sessions,avg_session_duration_min,screen_views,clicks,likes,shares,comments,searches,notifications_received,notification_open_rate,purchases,total_spend,retained_30d,churn_risk_score,cluster,segment_name,pca_1,pca_2
U00001,56.0,Female,India,iOS,Basic,96,22,4.49,107,10,1,0,0,9,24,0.122,4,59.82,0,0.448,1,Low Users,-2.4145484481587234,0.2452846753055731
U00002,46.0,Female,India,Android,Free,111,27,7.75,268,42,18,3,4,11,142,0.435,0,0.0,0,0.325,2,Moderate Users,3.0421907349141906,1.6655245262169454
U00003,32.0,Male,India,Android,Basic,56,22,15.89,129,27,3,0,0,13,12,0.198,3,95.08,0,0.608,1,Low Users,-2.0537056354150436,1.221646822567874
U00004,60.0,Female,India,Android,Free,183,26,9.18,201,33,6,1,1,11,12,0.452,0,0.0,1,0.129,0,High Users,0.6532258012938434,-1.7384993603689722
U00005,25.0,Male,USA,Android,Free,153,28,15.08,126,24,3,0,1,10,35,0.441,1,30.97,1,0.0,3,Occasional Users,-0.3741343209380224,-2.4755398627610345
U00006,38.0,Male,Canada,iOS,Free,279,27,1.0,236,58,17,2,5,13,43,0.234,6,62.23,1,0.0,2,Moderate Users,4.133621945995816,-1.4410578359227695
U00007,56.0,Female,USA,iOS,Basic,30,21,6.5,203,22,7,0,0,10,146,0.097,4,426.5,0,0.688,1,Low Users,-1.6856359820304276,1.7815030619917045
U00008,36.0,Female,India,Android,Basic,55,28,12.42,230,68,11,2,2,14,28,0.079,3,59.76,0,0.443,2,Moderate Users,1.8618142117757877,1.7020228681772411
U00009,40.0,Female,India,Android,Free,126,27,11.79,238,40,10,2,1,9,160,0.231,1,29.43,1,0.117,0,High Users,1.5769634890371471,-1.0347413291370569
U00010,28.0,Male,USA,Android,Free,247,25,1.35,140,16,2,0,0,7,3,0.477,3,42.11,1,0.0,3,Occasional Users,-0.6904028929679012,-3.1980782463994797
U00011,39.0,Female,Singapore,iOS,Premium,190,20,4.26,145,18,3,0,0,18,30,0.299,2,20.74,1,0.078,3,Occasional Users,-1.12169199496488,-2.2323924607058148
U00012,41.0,Female,USA,Android,Basic,76,29,13.84,262,59,12,0,0,9,35,0.627,6,147.96,1,0.082,0,High Users,1.3915106764528098,-1.3759755653251604
U00013,53.0,Female,India,Android,Basic,40,27,7.49,130,19,8,0,2,12,85,0.25,4,114.95,0,0.383,1,Low Users,-0.8622577635109755,0.7682000299309938
U00014,57.0,Female,Australia,Android,Premium,96,36,13.27,374,70,30,1,2,7,41,0.615,4,167.02,1,0.293,2,Moderate Users,4.641631672851307,0.09525594688911673
U00015,41.0,Female,India,iOS,Free,261,34,13.64,149,37,9,2,1,11,152,0.104,3,31.72,0,0.027,0,High Users,1.768488407831502,-1.8266785087843016
U00016,20.0,Male,India,iOS,Basic,216,24,7.27,164,31,4,0,1,5,75,0.343,2,114.01,0,0.29,0,High Users,-0.4187245755696874,-0.7809784665062885
U00017,39.0,Female,Singapore,iOS,Premium,130,19,7.93,127,23,9,0,1,10,118,0.297,3,176.32,1,0.241,3,Occasional Users,-0.8728641805487051,-0.8154961362107039
U00018,19.0,Female,India,Android,Basic,140,18,15.78,103,18,4,0,0,12,20,0.65,6,51.65,0,0.436,1,Low Users,-2.109382150278039,0.3019481528886218
U00019,41.0,Male,USA,iOS,Free,109,24,9.04,231,60,5,0,1,14,44,0.662,1,99.84,1,0.448,3,Occasional Users,0.3195562032335906,-0.18305595908694808
U00020,47.0,Female,India,iOS,Premium,56,17,10.64,81,10,1,0,0,12,107,0.304,1,52.5,0,0.6,1,Low Users,-3.1899600401038617,1.3188324356394447
U00021,55.0,Female,Singapore,Android,Free,22,13,9.4,149,35,3,0,0,11,0,0.203,3,212.37,0,0.637,1,Low Users,-2.4207169882970803,2.101995218351277
U00022,19.0,Female,India,Android,Free,117,25,11.17,166,33,10,0,1,10,149,0.214,0,0.0,1,0.194,3,Occasional Users,0.02742547366162906,-1.0932833581447226
U00023,38.0,Male,Canada,iOS,Free,55,15,16.52,81,14,1,0,0,21,142,0.092,4,159.85,0,0.699,1,Low Users,-3.319546533514416,1.7442556259457696
U00024,50.0,Male,India,iOS,Basic,85,30,13.05,224,42,15,1,1,13,175,0.21,4,126.21,0,0.535,1,Low Users,0.9764717841347843,1.2632952876004806
U00025,29.0,Male,Canada,Android,Basic,84,20,15.05,53,15,5,0,0,14,85,0.467,1,49.33,0,0.638,1,Low Users,-2.730522347285834,1.280156882501225
U00026,39.0,Female,UK,iOS,Free,139,24,14.55,144,34,8,1,1,8,50,0.373,3,56.27,0,0.536,1,Low Users,-0.3741824078380266,0.9572764863310459
