user_id,cluster,segment
100000,0,Low Engagement / At-Risk Users
100001,1,Moderate Engagement Users
100002,0,Low Engagement / At-Risk Users
100003,3,High Engagement Users
100004,3,High Engagement Users
100005,1,Moderate Engagement Users
100006,1,Moderate Engagement Users
100007,1,Moderate Engagement Users
100008,2,Occasional Users
100009,3,High Engagement Users
100010,0,Low Engagement / At-Risk Users
100011,3,High Engagement Users
100012,3,High Engagement Users
100013,2,Occasional Users
100014,1,Moderate Engagement Users
100015,0,Low Engagement / At-Risk Users
100016,3,High Engagement Users
100017,0,Low Engagement / At-Risk Users
100018,3,High Engagement Users
100019,1,Moderate Engagement Users
100020,0,Low Engagement / At-Risk Users
100021,0,Low Engagement / At-Risk Users
100022,1,Moderate Engagement Users
100023,1,Moderate Engagement Users
100024,3,High Engagement Users
100025,3,High Engagement Users
100026,1,Moderate Engagement Users
100027,3,High Engagement Users
100028,2,Occasional Users
100029,0,Low Engagement / At-Risk Users
100030,1,Moderate Engagement Users
100031,0,Low Engagement / At-Risk Users
100032,1,Moderate Engagement Users
100033,3,High Engagement Users
100034,1,Moderate Engagement Users
100035,3,High Engagement Users
100036,3,High Engagement Users
100037,0,Low Engagement / At-Risk Users
100038,1,Moderate Engagement Users
100039,3,High Engagement Users
100040,3,High Engagement Users
100041,2,Occasional Users
100042,0,Low Engagement / At-Risk Users
100043,0,Low Engagement / At-Risk Users
100044,1,Moderate Engagement Users
100045,1,Moderate Engagement Users
100046,3,High Engagement Users
100047,1,Moderate Engagement Users
100048,2,Occasional Users
100049,3,High Engagement Users
100050,3,High Engagement Users
100051,0,Low Engagement / At-Risk Users
100052,2,Occasional Users
100053,0,Low Engagement / At-Risk Users
100054,1,Moderate Engagement Users
100055,2,Occasional Users
100056,1,Moderate Engagement Users
100057,3,High Engagement Users
100058,2,Occasional Users
100059,1,Moderate Engagement Users
100060,1,Moderate Engagement Users
100061,3,High Engagement Users
100062,2,Occasional Users
100063,3,High Engagement Users
100064,0,Low Engagement / At-Risk Users
100065,0,Low Engagement / At-Risk Users
100066,1,Moderate Engagement Users
100067,3,High Engagement Users
100068,0,Low Engagement / At-Risk Users
100069,0,Low Engagement / At-Risk Users
100070,3,High Engagement Users
100071,3,High Engagement Users
100072,1,Moderate Engagement Users
100073,1,Moderate Engagement Users
100074,1,Moderate Engagement Users
100075,2,Occasional Users
100076,1,Moderate Engagement Users
100077,1,Moderate Engagement Users
100078,3,High Engagement Users
100079,2,Occasional Users
100080,0,Low Engagement / At-Risk Users
100081,3,High Engagement Users
100082,2,Occasional Users
100083,2,Occasional Users
100084,3,High Engagement Users
100085,0,Low Engagement / At-Risk Users
100086,2,Occasional Users
100087,3,High Engagement Users
100088,1,Moderate Engagement Users
100089,1,Moderate Engagement Users
100090,3,High Engagement Users
100091,2,Occasional Users
100092,3,High Engagement Users
100093,3,High Engagement Users
100094,0,Low Engagement / At-Risk Users
100095,0,Low Engagement / At-Risk Users
100096,3,High Engagement Users
100097,3,High Engagement Users
100098,0,Low Engagement / At-Risk Users
100099,3,High Engagement Users
100100,0,Low Engagement / At-Risk Users
100101,1,Moderate Engagement Users
100102,0,Low Engagement / At-Risk Users
100103,0,Low Engagement / At-Risk Users
100104,3,High Engagement Users
100105,0,Low Engagement / At-Risk Users
100106,1,Moderate Engagement Users
100107,0,Low Engagement / At-Risk Users
100108,1,Moderate Engagement Users
100109,0,Low Engagement / At-Risk Users
100110,3,High Engagement Users
100111,2,Occasional Users
100112,0,Low Engagement / At-Risk Users
100113,1,Moderate Engagement Users
100114,1,Moderate Engagement Users
100115,0,Low Engagement / At-Risk Users
100116,3,High Engagement Users
100117,1,Moderate Engagement Users
100118,2,Occasional Users
100119,1,Moderate Engagement Users
100120,3,High Engagement Users
100121,0,Low Engagement / At-Risk Users
100122,1,Moderate Engagement Users
100123,1,Moderate Engagement Users
100124,2,Occasional Users
100125,3,High Engagement Users
100126,3,High Engagement Users
100127,2,Occasional Users
100128,2,Occasional Users
100129,2,Occasional Users
100130,0,Low Engagement / At-Risk Users
100131,2,Occasional Users
100132,1,Moderate Engagement Users
100133,0,Low Engagement / At-Risk Users
100134,1,Moderate Engagement Users
100135,2,Occasional Users
100136,0,Low Engagement / At-Risk Users
100137,3,High Engagement Users
100138,1,Moderate Engagement Users
100139,1,Moderate Engagement Users
100140,0,Low Engagement / At-Risk Users
100141,2,Occasional Users
100142,2,Occasional Users
100143,0,Low Engagement / At-Risk Users
100144,0,Low Engagement / At-Risk Users
100145,3,High Engagement Users
100146,3,High Engagement Users
100147,3,High Engagement Users
100148,1,Moderate Engagement Users
100149,0,Low Engagement / At-Risk Users
100150,1,Moderate Engagement Users
100151,0,Low Engagement / At-Risk Users
100152,1,Moderate Engagement Users
100153,3,High Engagement Users
100154,0,Low Engagement / At-Risk Users
100155,0,Low Engagement / At-Risk Users
100156,0,Low Engagement / At-Risk Users
100157,0,Low Engagement / At-Risk Users
100158,0,Low Engagement / At-Risk Users
100159,0,Low Engagement / At-Risk Users
100160,0,Low Engagement / At-Risk Users
100161,1,Moderate Engagement Users
100162,3,High Engagement Users
100163,3,High Engagement Users
100164,0,Low Engagement / At-Risk Users
100165,2,Occasional Users
100166,3,High Engagement Users
100167,2,Occasional Users
100168,3,High Engagement Users
100169,1,Moderate Engagement Users
100170,3,High Engagement Users
100171,3,High Engagement Users
100172,2,Occasional Users
100173,0,Low Engagement / At-Risk Users
100174,3,High Engagement Users
100175,3,High Engagement Users
100176,1,Moderate Engagement Users
100177,3,High Engagement Users
100178,3,High Engagement Users
100179,3,High Engagement Users
100180,1,Moderate Engagement Users
100181,1,Moderate Engagement Users
100182,0,Low Engagement / At-Risk Users
100183,1,Moderate Engagement Users
100184,3,High Engagement Users
100185,1,Moderate Engagement Users
100186,3,High Engagement Users
100187,0,Low Engagement / At-Risk Users
100188,3,High Engagement Users
100189,2,Occasional Users
100190,0,Low Engagement / At-Risk Users
100191,0,Low Engagement / At-Risk Users
